 time            v(vspike)      
 2.32753910e-02 -6.86775543e-05 
 2.33340376e-02  6.79588343e-05 
 2.34340376e-02 -6.70529104e-05 
 2.34731967e-02  6.70651109e-05 
 2.35104904e-02 -6.72515367e-05 
 2.35360191e-02  6.77320707e-05 
 2.35610774e-02 -6.81951332e-05 
 2.36111941e-02  6.90392681e-05 
 2.36730490e-02 -6.91226300e-05 
 2.37730490e-02  6.85150017e-05 
 2.38730490e-02 -6.80343281e-05 
 2.39730490e-02  6.80634417e-05 
 2.40730490e-02 -6.77789268e-05 
 2.41539343e-02  6.77314169e-05 
 2.42539343e-02 -6.80391643e-05 
 2.43374329e-02  6.87060369e-05 
 2.44374329e-02 -6.88805989e-05 
 2.45340757e-02  6.79670650e-05 
 2.45999832e-02 -6.72073148e-05 
 2.46417472e-02  6.72620380e-05 
 2.46794214e-02 -6.74723943e-05 
 2.47146462e-02  6.77515937e-05 
 2.47507160e-02 -6.77713890e-05 
 2.47895954e-02  6.79590992e-05 
 2.48373270e-02 -6.82987657e-05 
 2.48812251e-02  6.87308457e-05 
 2.49222974e-02 -6.86056208e-05 
 2.49859487e-02  6.81509174e-05 
 2.50297779e-02 -6.80061005e-05 
 2.50701634e-02  6.86217098e-05 
 2.51029891e-02 -6.94066293e-05 
 2.51312393e-02  6.99718007e-05 
 2.51623536e-02 -6.98907780e-05 
 2.51969133e-02  6.95747732e-05 
 2.52352285e-02 -6.92534922e-05 
 2.52689604e-02  6.93694293e-05 
 2.53097605e-02 -6.93549106e-05 
 2.53700564e-02  6.92087706e-05 
 2.54297240e-02 -6.85763609e-05 
 2.54841008e-02  6.81010624e-05 
 2.55390882e-02 -6.76631472e-05 
