 time            v(vin)          v(vmem)        
 7.49399514e-03  9.17193774e-01  4.29249701e-03 
 7.52739615e-03  8.30817421e-01  4.30046931e-03 
 7.58454394e-03  8.77159658e-01  4.31405541e-03 
 7.62818813e-03  9.60271655e-01  4.32445718e-03 
 7.66979508e-03  9.37902115e-01  4.33435313e-03 
 7.69668188e-03  7.69902048e-01  4.34077215e-03 
 7.72312046e-03  7.66923757e-01  4.34704896e-03 
 7.73616103e-03  9.09298681e-01  4.35017517e-03 
 7.74881261e-03  8.64481377e-01  4.35317420e-03 
 7.75874869e-03  7.66693906e-01  4.35555843e-03 
 7.76793272e-03  8.01845242e-01  4.35772758e-03 
 7.77786124e-03  8.61253530e-01  4.36010823e-03 
 7.78760937e-03  8.44084903e-01  4.36241280e-03 
 7.79880297e-03  8.00003968e-01  4.36509373e-03 
 7.81077172e-03  8.51396672e-01  4.36792563e-03 
 7.82201707e-03  9.04076340e-01  4.37062021e-03 
 7.83743135e-03  9.39323388e-01  4.37427090e-03 
 7.85194475e-03  8.84718353e-01  4.37774194e-03 
 7.86660015e-03  8.75272161e-01  4.38121596e-03 
 7.89131157e-03  9.22573710e-01  4.38711561e-03 
 7.91367991e-03  8.85183400e-01  4.39242527e-03 
 7.94992614e-03  8.98682972e-01  4.40107278e-03 
 8.02241860e-03  8.38953214e-01  4.41831735e-03 
 8.11764715e-03  7.87429771e-01  4.44100034e-03 
 8.18044130e-03  9.26360222e-01  4.45593079e-03 
 8.24188597e-03  9.43174285e-01  4.47057505e-03 
 8.29343857e-03  9.43020465e-01  4.48282494e-03 
 8.34998115e-03  9.06835766e-01  4.49630015e-03 
 8.41003580e-03  8.58827498e-01  4.51057058e-03 
 8.47324405e-03  8.97176592e-01  4.52562611e-03 
 8.54187807e-03  9.16585049e-01  4.54194438e-03 
 8.61439752e-03  8.72225061e-01  4.55921411e-03 
 8.69092285e-03  9.10170318e-01  4.57740600e-03 
 8.79092285e-03  8.90016214e-01  4.60121550e-03 
 8.89092285e-03  9.59104942e-01  4.62498503e-03 
 8.99092285e-03  9.35833262e-01  4.64878773e-03 
 9.09092285e-03  8.61449666e-01  4.67255251e-03 
 9.16405133e-03  1.05050545e+00  4.68995702e-03 
 9.23267923e-03  9.54450490e-01  4.70626074e-03 
 9.28082826e-03  9.14427821e-01  4.71772796e-03 
 9.33114706e-03  1.00768475e+00  4.72967503e-03 
 9.38039175e-03  9.62576615e-01  4.74140000e-03 
 9.42616804e-03  9.89928981e-01  4.75226317e-03 
 9.49883146e-03  9.87173263e-01  4.76955068e-03 
 9.59883146e-03  1.03664456e+00  4.79330336e-03 
 9.68547863e-03  9.93892860e-01  4.81391786e-03 
 9.77477071e-03  8.89501490e-01  4.83512594e-03 
 9.86125144e-03  8.75249691e-01  4.85569446e-03 
 9.94734460e-03  8.67666613e-01  4.87613561e-03 
 1.00240929e-02  9.95481874e-01  4.89438375e-03 
 1.00988434e-02  8.84018266e-01  4.91212693e-03 
 1.01694659e-02  9.20697801e-01  4.92891801e-03 
 1.02247875e-02  1.06613451e+00  4.94204369e-03 
 1.02764299e-02  9.73796429e-01  4.95432967e-03 
 1.03295318e-02  9.71258683e-01  4.96691991e-03 
