 time            v(vin)          v(vdata)       
 7.10826182e-03  8.01141649e-01  2.06597862e+00 
 7.11741556e-03  8.85619751e-01  2.06416301e+00 
 7.12703704e-03  8.81256353e-01  2.06279130e+00 
 7.13679104e-03  8.42148163e-01  2.06211349e+00 
 7.14828380e-03  8.86820889e-01  2.06166551e+00 
 7.16050435e-03  9.67762693e-01  2.06281125e+00 
 7.17501215e-03  9.55154689e-01  2.06799608e+00 
 7.18944376e-03  9.32432990e-01  2.07581301e+00 
 7.20633209e-03  8.48997866e-01  2.08375313e+00 
 7.22431559e-03  7.58971126e-01  2.08616710e+00 
 7.23417366e-03  8.63374958e-01  2.08462600e+00 
 7.24417616e-03  8.78839261e-01  2.08262834e+00 
 7.25177980e-03  7.94647537e-01  2.08115535e+00 
 7.25924844e-03  7.11950653e-01  2.07908459e+00 
 7.26491665e-03  7.51083532e-01  2.07682479e+00 
 7.27088614e-03  8.08699834e-01  2.07399451e+00 
 7.28223043e-03  9.05255827e-01  2.06919409e+00 
 7.29629011e-03  9.59408812e-01  2.06725847e+00 
 7.31099690e-03  9.39317304e-01  2.07083142e+00 
 7.32486764e-03  8.93690780e-01  2.07687582e+00 
 7.34399441e-03  8.87033654e-01  2.08429951e+00 
 7.36082158e-03  1.07598591e+00  2.09138161e+00 
 7.37659723e-03  1.03550716e+00  2.10239382e+00 
 7.39503770e-03  9.10931563e-01  2.11726966e+00 
 7.41397141e-03  9.82466177e-01  2.12872603e+00 
 7.43288162e-03  9.59755838e-01  2.13670382e+00 
 7.46464096e-03  8.70998273e-01  2.14130964e+00 
 7.49399514e-03  9.17193774e-01  2.13500302e+00 
 7.52739615e-03  8.30817421e-01  2.12100752e+00 
 7.58454394e-03  8.77159658e-01  2.09275365e+00 
 7.62818813e-03  9.60271655e-01  2.08545938e+00 
 7.66979508e-03  9.37902115e-01  2.09794312e+00 
 7.69668188e-03  7.69902048e-01  2.10347805e+00 
 7.72312046e-03  7.66923757e-01  2.09567068e+00 
 7.73616103e-03  9.09298681e-01  2.08861567e+00 
 7.74881261e-03  8.64481377e-01  2.08335522e+00 
 7.75874869e-03  7.66693906e-01  2.07999579e+00 
 7.76793272e-03  8.01845242e-01  2.07625142e+00 
 7.77786124e-03  8.61253530e-01  2.07193111e+00 
 7.78760937e-03  8.44084903e-01  2.06840795e+00 
 7.79880297e-03  8.00003968e-01  2.06500898e+00 
 7.81077172e-03  8.51396672e-01  2.06162567e+00 
 7.82201707e-03  9.04076340e-01  2.05974423e+00 
 7.83743135e-03  9.39323388e-01  2.06146574e+00 
